Country,Region,Happiness_Score,Economy,Family,Health,Freedom,Generosity,Trust
Lesotho,Sub-Saharan Africa,3.80800009,0.52102125,1.19009519,0,0.3906613,0.15749727,0.11909464
Angola,Sub-Saharan Africa,3.79500008,0.85842818,1.10441196,0.04986867,0,0.09792649,0.06972034
Afghanistan,Southern Asia,3.79399991,0.40147722,0.58154333,0.18074678,0.10617952,0.31187093,0.06115783
Botswana,Sub-Saharan Africa,3.76600003,1.12209415,1.22155499,0.34175551,0.50519633,0.09934845,0.0985832
Benin,Sub-Saharan Africa,3.65700006,0.43108541,0.43529984,0.20993021,0.42596278,0.20794846,0.06092902
Madagascar,Sub-Saharan Africa,3.64400005,0.30580869,0.91302037,0.37522331,0.18919677,0.20873253,0.06723198
Haiti,Latin America and Caribbean,3.60299993,0.36861026,0.64044982,0.27732113,0.03036986,0.48920378,0.09987215
Yemen,Middle East and Northern Africa,3.59299994,0.59168345,0.93538225,0.31008092,0.24946372,0.10412521,0.05676742
South Sudan,Sub-Saharan Africa,3.59100008,0.39724863,0.60132313,0.163486,0.14706244,0.28567082,0.11679351
Liberia,Sub-Saharan Africa,3.53299999,0.11904179,0.87211794,0.2299182,0.33288118,0.26654989,0.03894825
Guinea,Sub-Saharan Africa,3.50699997,0.24454993,0.79124469,0.19412914,0.34858751,0.26481509,0.11093762
Togo,Sub-Saharan Africa,3.49499989,0.30544472,0.43188253,0.24710557,0.38042614,0.19689615,0.09566502
Rwanda,Sub-Saharan Africa,3.47099996,0.36874589,0.94570702,0.32642481,0.58184385,0.25275603,0.45522001
Syria,Middle East and Northern Africa,3.46199989,0.77715313,0.39610261,0.50053334,0.08153944,0.49366373,0.15134713
Tanzania,Sub-Saharan Africa,3.34899998,0.51113588,1.0419898,0.36450928,0.39001778,0.35425636,0.06603511
Burundi,Sub-Saharan Africa,2.90499997,0.09162257,0.62979358,0.15161079,0.05990075,0.20443518,0.08414795
Central African Republic,Sub-Saharan Africa,2.69300008,0,0,0.01877269,0.27084205,0.28087649,0.05656508
